ID,Event,Event Type, Start Date,End Date,Schedule,Neighborhood,Address,Notes,Tickets Link,Link
28,Arlo Wynwood: AFTER DARK,Art Show,12/6/2025,,5 - 11:30 pm,Wynwood,"2217 Northwest Miami Court, Miami, FL 33127",,https://www.eventbrite.com/e/art-access-miami-art-week-2025-arlo-wynwood-arlo-after-dark-tickets-1965805714811?aff=odcleoeventsincollection,https://www.eventbrite.com/e/art-access-miami-art-week-2025-arlo-wynwood-arlo-after-dark-tickets-1965805714811?aff=odcleoeventsincollection
29,The Ethereal Runway Show + Live Art + Live Music,Art Show,12/5/2025,,6 - 9 pm,Brickell,"Flow Brickell - 275 SW 6th St, 9 Floor, Miami, FL 33130",,https://luma.com/21ivstt6,https://luma.com/21ivstt6
30,BitBasel,Art Show,12/3/2025,12/7/2025,Daily schedule changes,Miami Beach,"The Sagamore Hotel - 1671 Collins Ave, Miami Beach, FL 33139",,https://www.bitbasel.miami/artweek#highlights,https://www.bitbasel.miami/artweek#highlights
31,Faena Art,Art Show,12/2/2025,12/7/2025,"Daily schedule changes, though it’s usually 10am to 7pm",Miami Beach,"3201 Collins Ave, Miami Beach, FL 33140",,https://www.faenaart.org/programs/miami-art-week-2025,https://www.faenaart.org/programs/miami-art-week-2025
32,Art With Me (great lineup!),Party,12/5/2025,12/6/2025,Schedule varies but usually from 2pm to 3am,Wynwood,"Green Space at Mana Wynwood - 318 NW 23rd St, Miami, FL 33127 ",,https://artwithmemiami.com/?fbclid=PAZXh0bgNhZW0CMTEAAae8sWXXgakjbPUW9rJx1iciifEp97UAygPY25FM-RVHse-j-_IOVzGUdfDEYg_aem_KDCjqm7ryStceOVsJil1Tg,https://artwithmemiami.com/?fbclid=PAZXh0bgNhZW0CMTEAAae8sWXXgakjbPUW9rJx1iciifEp97UAygPY25FM-RVHse-j-_IOVzGUdfDEYg_aem_KDCjqm7ryStceOVsJil1Tg
33,BLACK COFFEE (Open Air at the Downtown Courthouse),Party,12/5/2025,,5:00 PM,Downtown,73 West Flagler Street,,https://dice.fm/event/53xlok-black-coffee-open-air-at-the-downtown-courthouse-6th-dec-73-west-flagler-street-miami-tickets?lng=en-US,https://www.timeout.com/miami/news/black-coffee-is-performing-a-one-night-only-concert-during-art-basel-this-year-111725
34,BitBasel - Basel City,Party,12/6/2025,,6pm - 12am,Miami Beach,"The Sagamore, 1671 Collins Ave, Miami Beach, FL 33139",,https://posh.vip/e/basel-city,https://posh.vip/e/basel-city
35,Broken Shaker   (How A Sunset Sounds - Art Basel),Party,12/7/2025,,2pm - 8pm,Miami Beach,"2727 Indian Creek Dr #11, Miami Beach, FL 33140",,https://posh.vip/e/how-a-sunset-sounds-art-basel,https://posh.vip/e/how-a-sunset-sounds-art-basel
36,Club M2,Party,12/3/2025,12/6/2025,10pm - 5am,Miami Beach,"1235 Washington Ave, Miami Beach, FL 33139",,https://www.m2miami.com/events,https://www.m2miami.com/events
37,Club Space (parties every night),Party,12/2/2025,12/7/2025,11pm - 11am but main artists usually come out between 3-5am,Downtown,"34 NE 11th St, Miami, FL 33132",,https://www.clubspace.com/events,https://www.clubspace.com/events
38,Francis Mercier,Party,12/3/2025,,11pm - 11am but main artist usually comes out between 3-5am,Downtown,"34 NE 11th St, Miami, FL 33132",,https://dice.fm/event/rybmdw-francis-mercier-presents-deep-root-tribe-space-basel-2025-3rd-dec-club-space-miami-miami-tickets?pid=99db2a70&_branch_match_id=1263983458127435889&utm_medium=partners_api&_branch_referrer=H4sIAAAAAAAAA8soKSkottLXz8nMy9ZLyUxO1UvL1fc1M7QwsUxJsrAwsLQvyEyxtQRyjBLNDdTqilLTUouKMvPS45OK8suLU4tsnTOK8nNTAUxT75RIAAAA,https://dice.fm/event/rybmdw-francis-mercier-presents-deep-root-tribe-space-basel-2025-3rd-dec-club-space-miami-miami-tickets?pid=99db2a70&_branch_match_id=1263983458127435889&utm_medium=partners_api&_branch_referrer=H4sIAAAAAAAAA8soKSkottLXz8nMy9ZLyUxO1UvL1fc1M7QwsUxJsrAwsLQvyEyxtQRyjBLNDdTqilLTUouKMvPS45OK8suLU4tsnTOK8nNTAUxT75RIAAAA
39,Solomun,Party,12/6/2025,,11pm - 11am but main artist usually comes out between 3-5am,Downtown,"34 NE 11th St, Miami, FL 33132",,https://dice.fm/event/q2a5la-solomun-space-basel-2025-6th-dec-club-space-miami-miami-tickets?pid=99db2a70&_branch_match_id=1263983458127435889&utm_medium=partners_api&_branch_referrer=H4sIAAAAAAAAA8soKSkottLXz8nMy9ZLyUxO1UvL1U8ySzZMTktNMbZISrUvyEyxtbRMSTJKNDdQqytKTUstKsrMS49PKsovL04tsnXOKMrPTQUAO1GqNkgAAAA%3D,https://dice.fm/event/q2a5la-solomun-space-basel-2025-6th-dec-club-space-miami-miami-tickets?pid=99db2a70&_branch_match_id=1263983458127435889&utm_medium=partners_api&_branch_referrer=H4sIAAAAAAAAA8soKSkottLXz8nMy9ZLyUxO1UvL1U8ySzZMTktNMbZISrUvyEyxtbRMSTJKNDdQqytKTUstKsrMS49PKsovL04tsnXOKMrPTQUAO1GqNkgAAAA%3D
40,33+ Hour Space Basel Closing Party,Party,12/7/2025,12/9/2025,33 hours of DJs starting on Dec 7 at 11pm ending on Dec 9 at 11am,Downtown,"34 NE 11th St, Miami, FL 33132",,https://dice.fm/event/xenqkk-33-hour-space-basel-closing-party-7th-dec-club-space-miami-miami-tickets?pid=99db2a70&_branch_match_id=1263983458127435889&utm_medium=partners_api&_branch_referrer=H4sIAAAAAAAAA8soKSkottLXz8nMy9ZLyUxO1UvL1c8yMkizTDIzMDa2TLQvyEyxtbRMSTJKNDdQqytKTUstKsrMS49PKsovL04tsnXOKMrPTQUA5gTTp0gAAAA%3D,https://dice.fm/event/xenqkk-33-hour-space-basel-closing-party-7th-dec-club-space-miami-miami-tickets?pid=99db2a70&_branch_match_id=1263983458127435889&utm_medium=partners_api&_branch_referrer=H4sIAAAAAAAAA8soKSkottLXz8nMy9ZLyUxO1UvL1c8yMkizTDIzMDa2TLQvyEyxtbRMSTJKNDdQqytKTUstKsrMS49PKsovL04tsnXOKMrPTQUA5gTTp0gAAAA%3D
41,CapitalOne Party at 1111 Lincoln Road,Party,,,,Miami Beach,,Invite only.,,
42,Bagattelle Miami River,Party,,,,Downtown ,,,,
43,Boho House,Party,,,,Downtown,,,,
44,Casa Neos,Party,12/5/2025,12/7/2025,,Downtown,"40 SW North River Dr, Miami, FL 33128",Only for Table reservations or Members,https://www.casa-neos.com/miami-art-week-dj-line-up,https://www.casa-neos.com/miami-art-week-dj-line-up
45,Chase Sapphire Concerts ,Party,,,,Miami Beach,,Cardmembers only.,https://account.chase.com/sapphire/reserve/reservedbysapphire,https://account.chase.com/sapphire/reserve/reservedbysapphire
46,DAER,Party,,,,Fort Lauderdale,,,,
47,Dante's Hifi,Party,,,,Wynwood,,,,
48,Do Not Sit On The Furniture,Party,12/3/2025,12/6/2025,10pm - 5am,Miami Beach,"423 16th St, Miami Beach, Florida 33139",,https://donotsitonthefurniture.com/#wpcf7-f245-o2,https://donotsitonthefurniture.com/#wpcf7-f245-o2
49,E11even,Party,12/3/2025,12/7/2025,Open 24 hours but main artists come out between 2-5 am,Downtown,"29 NE 11th St, Miami, 33132",,https://www.11miami.com/events,https://www.11miami.com/events
50,Diplo,Party,12/5/2025,,Open 24 hours but main artists come out between 2-5 am,Downtown,"29 NE 11th St, Miami, 33132",,https://speakeasygo.com/E11EVEN/E11EVEN-MIAMI-ART-WEEK-FT-DIPLO?eid=EVE-SRV1G7,https://speakeasygo.com/E11EVEN/E11EVEN-MIAMI-ART-WEEK-FT-DIPLO?eid=EVE-SRV1G7
51,Marshmello,Party,12/6/2025,,Open 24 hours but main artists come out between 2-5 am,Downtown,"29 NE 11th St, Miami, 33132",,https://speakeasygo.com/E11EVEN/E11EVEN-MIAMI-ART-WEEK-FT-MARSHMELLO?eid=EVE-1BH8WS,https://speakeasygo.com/E11EVEN/E11EVEN-MIAMI-ART-WEEK-FT-MARSHMELLO?eid=EVE-1BH8WS
52,Faena Music Series,Party,12/5/2025,,3PM,Miami Beach,"3201 Collins Ave, Miami Beach, FL 33140",,https://www.eventbrite.com/e/faena-art-sunset-music-series-tickets-1970802142260?aff=oddtdtcreator,https://www.eventbrite.com/e/faena-art-sunset-music-series-tickets-1970802142260?aff=oddtdtcreator
53,Factory Town,Party,12/3/2025,12/7/2025,9pm - 7am but main artist usually comes out between 3-5am,Hialeah,"4800 NW 37th Ave, Miami, FL 33142",,https://www.factorytown.com/events/,https://www.factorytown.com/events/
54,Tiesto,Party,12/3/2025,,9pm - 7am but main artist usually comes out between 3-5am,Hialeah,"4800 NW 37th Ave, Miami, FL 33142",,https://dice.fm/event/oenkgm-factory-basel-2025-wednesday-pass-3rd-dec-factory-town-miami-tickets,https://dice.fm/event/oenkgm-factory-basel-2025-wednesday-pass-3rd-dec-factory-town-miami-tickets
55,Hugel,Party,12/3/2025,,9pm - 7am but main artist usually comes out between 3-5am,Hialeah,"4800 NW 37th Ave, Miami, FL 33142",,https://dice.fm/event/oenkgm-factory-basel-2025-wednesday-pass-3rd-dec-factory-town-miami-tickets,https://dice.fm/event/oenkgm-factory-basel-2025-wednesday-pass-3rd-dec-factory-town-miami-tickets
56,Solomun,Party,12/5/2025,,9pm - 7am but main artist usually comes out between 3-5am,Hialeah,"4800 NW 37th Ave, Miami, FL 33142",,https://dice.fm/event/mx523l-factory-basel-2025-friday-pass-5th-dec-factory-town-miami-tickets,https://dice.fm/event/mx523l-factory-basel-2025-friday-pass-5th-dec-factory-town-miami-tickets
57,Circoloco,Party,12/6/2025,,9pm - 7am but main artist usually comes out between 3-5am,Hialeah,"4800 NW 37th Ave, Miami, FL 33142",,https://www.factorytown.com/event/circoloco-2025-12-06-miami-fl,https://www.factorytown.com/event/circoloco-2025-12-06-miami-fl
58,Ferrari Party,Party,,,Invite only.,,,,,
59,Hive Wynwood,Party,12/4/2025,12/8/2025,4pm - 3am,Wynwood,"The Wynwood Marketplace - 2250 NW 2nd Ave, Miami, FL 33127",,https://www.eventbrite.com/e/hive-2025-a-cocktail-art-and-culinary-village-in-wynwood-miami-art-week-tickets-1967707769909?aff=oddtdtcreator&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4CGNhbGxzaXRlAjE1AAGnMIgJKKo5Zj6kV80uGcLDsuskqSKS3ZOyl4kudmzcY-3pkmv_R5NLH_s0P1Q_aem_YiCo_GiG06aSwXv37JeUFw,https://www.eventbrite.com/e/hive-2025-a-cocktail-art-and-culinary-village-in-wynwood-miami-art-week-tickets-1967707769909?aff=oddtdtcreator&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4CGNhbGxzaXRlAjE1AAGnMIgJKKo5Zj6kV80uGcLDsuskqSKS3ZOyl4kudmzcY-3pkmv_R5NLH_s0P1Q_aem_YiCo_GiG06aSwXv37JeUFw
60,Joia Beach,Party,12/6/2025,,5pm - 11pm,Miami Beach,"1111 Parrot Jungle Trail, Miami, Florida 33132",,https://dice.fm/partner/tickets/event/q28d79-solene-joia-beach-2nomads-terranova-more-6th-dec-joia-beach-miami-tickets?dice_id=7604957&dice_channel=web&dice_tags=organic&dice_campaign=DICE&dice_feature=mio_marketing&mc_cid=350fff871e&mc_eid=3271efb354&_branch_match_id=1263983458127435889&utm_source=web&utm_campaign=DICE&utm_medium=mio_marketing&_branch_referrer=H4sIAAAAAAAAA8soKSkottLXz8nMy9ZLyUxO1UvL1Y9IS7G0NDZPskxJTLRPzk9JtfX0C%2FZ0cQ1ydHZ2DQ5Wy02OT85MsTU2NUhLS7MwN0wFiaSCRIyAnLQkY1MTtbqi1LTUoqLMvPT4pKL88uLUIlvnjKL83FQABFT%2B2HIAAAA%3D,https://dice.fm/partner/tickets/event/q28d79-solene-joia-beach-2nomads-terranova-more-6th-dec-joia-beach-miami-tickets?dice_id=7604957&dice_channel=web&dice_tags=organic&dice_campaign=DICE&dice_feature=mio_marketing&mc_cid=350fff871e&mc_eid=3271efb354&_branch_match_id=1263983458127435889&utm_source=web&utm_campaign=DICE&utm_medium=mio_marketing&_branch_referrer=H4sIAAAAAAAAA8soKSkottLXz8nMy9ZLyUxO1UvL1Y9IS7G0NDZPskxJTLRPzk9JtfX0C%2FZ0cQ1ydHZ2DQ5Wy02OT85MsTU2NUhLS7MwN0wFiaSCRIyAnLQkY1MTtbqi1LTUoqLMvPT4pKL88uLUIlvnjKL83FQABFT%2B2HIAAAA%3D
61,Little River Studios,Party,12/4/2025,12/6/2025,8pm - 3am ,Little River,"300 Northeast 71st Street, Miami, Florida 33138",,https://dice.fm/event/avgexq-unkommon-art-week-3-day-pass-thurs-fri-sat-4th-dec-little-river-studios-miami-tickets,https://dice.fm/event/avgexq-unkommon-art-week-3-day-pass-thurs-fri-sat-4th-dec-little-river-studios-miami-tickets
62,Hugel,Party,12/3/2025,,5pm - 3am ,Little River,"300 Northeast 71st Street, Miami, Florida 33138",,https://dice.fm/event/2wxoa6-hugel-unkommon-art-week-4th-dec-little-river-studios-miami-tickets,https://dice.fm/event/2wxoa6-hugel-unkommon-art-week-4th-dec-little-river-studios-miami-tickets
63,Tiesto,Party,12/5/2025,,8pm - 3am,Little River,"300 Northeast 71st Street, Miami, Florida 33138",,https://dice.fm/event/6db677-tisto-unkommon-art-week-5th-dec-little-river-studios-miami-tickets,https://dice.fm/event/6db677-tisto-unkommon-art-week-5th-dec-little-river-studios-miami-tickets
64,Rampa,Party,12/6/2025,,8pm - 3am,Little River,"300 Northeast 71st Street, Miami, Florida 33138",,https://dice.fm/event/bbygwg-rampa-unkommon-art-week-6th-dec-little-river-studios-miami-tickets,https://dice.fm/event/bbygwg-rampa-unkommon-art-week-6th-dec-little-river-studios-miami-tickets
65,LIV,Party,12/3/2025,12/7/2025,11:30 pm - 5am but main artist usually comes out between 2-3am,Miami Beach,"Fontainebleau Miami Beach - 4441 Collins Avenue, Miami Beach, FL 33140",,https://www.livnightclub.com/miami/special-events/liv-miami-basel-edition-2025/,https://www.livnightclub.com/miami/special-events/liv-miami-basel-edition-2025/
66,Maxim Party,Party,,,8PM,,,,,
67,Miami Beach Bandshell,Party,12/5/2025,12/7/2025,,Miami Beach,"7275 Collins Avenue, Miami Beach FL. 33141",,https://miamibeachbandshell.com/events/,https://miamibeachbandshell.com/events/
68,Miami Beach Edition Hotel,Party,,,,Miami Beach,"2901 Collins Ave, Miami Beach, FL 33140",Matador Room and Basement. Invite only potentially.,https://www.instagram.com/reel/DQzal-Pkd0O/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,https://www.instagram.com/reel/DQzal-Pkd0O/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
69,Medium Cool,Party,,,,Miami Beach,,,,
70,Mila Lounge,Party,12/2/2025,12/7/2025,11pm - 5am,Miami Beach,"1636 Meridian Ave, Miami Beach, FL 33139",,https://www.instagram.com/p/DQZ3QXbjvrw/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,https://www.instagram.com/p/DQZ3QXbjvrw/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
71,Nylon Party,Party,,,,,?,,Invite only.,https://www.nylon.com/
72,Palm Tree Club,Party,12/3/2025,12/7/2025,3pm - 10pm,Miami Beach,"1819 79th Street Causeway North Bay Village, FL 33141",,https://www.palmtreeclubmiami.com/live-events,https://www.palmtreeclubmiami.com/live-events
73,John Summit,Party,12/3/2025,12/5/2025,,Miami Beach,"1819 79th Street Causeway North Bay Village, FL 33141",,https://posh.vip/e/basel-edition-john-summit-presented-by-palm-tree-club-miami,https://posh.vip/e/basel-edition-john-summit-presented-by-palm-tree-club-miami
74,Disclosure DJ Set + Carlita,Party,12/6/2025,,,Miami Beach,"1819 79th Street Causeway North Bay Village, FL 33141",,https://posh.vip/e/basel-edition-disclosure-dj-set-carlita-presented-by-palm-tree-club-miami,https://posh.vip/e/basel-edition-disclosure-dj-set-carlita-presented-by-palm-tree-club-miami
75,Rampa,Party,12/7/2025,,3PM,Miami Beach,"1819 79th Street Causeway North Bay Village, FL 33141",,https://posh.vip/e/basel-edition-rampa-presented-by-palm-tree-club-miami,https://posh.vip/e/basel-edition-rampa-presented-by-palm-tree-club-miami
76,Senza Fine Concert,Party,,,,,,,Invite only.,
77,Scope (night events),Party,,,,Miami Beach,"SCOPE Art Show - 801 Ocean Dr, Miami Beach, FL 33139",,,
78,Scope Party,Party,12/3/2025,,8pm - Late,Miami Beach,"SCOPE Art Show - 801 Ocean Dr, Miami Beach, FL 33139",,,https://scope-art.com/program
79,Scope Concert,Party,12/4/2025,,10am - 2pm,Miami Beach,"SCOPE Art Show - 801 Ocean Dr, Miami Beach, FL 33139",,,https://scope-art.com/program
80,Soho House,Party,,,,Miami Beach,"4385 Collins Ave, Miami Beach, FL 33140",,Members & members guests only.,
81,Strawberry Moon,Party,12/5/2025,12/6/2025,12pm - 6pm,Miami Beach,"601 Washington Avenue, Miami Beach, FL 33139",,https://www.thegoodtimehotel.com/eventcalendar/,https://www.thegoodtimehotel.com/eventcalendar/
82,Tala Beach,Party,,,,Miami Beach,"2341 Collins Avenue, Miami Beach, FL 33139",,https://www.1hotels.com/south-beach/taste/tala-beach,https://www.1hotels.com/south-beach/taste/tala-beach
83,The Coffee Party,Party,12/6/2025,,10am - 3pm,Miami Beach,"2341 Collins Avenue, Miami Beach, FL 33139",,https://admitone.com/events/miami%20beach/community/party/miami-art-week-the-coffee-party/170BUC,https://admitone.com/events/miami%20beach/community/party/miami-art-week-the-coffee-party/170BUC
84,Art Week at Tala Beach,Party,12/6/2025,,3pm - 11pm ,Miami Beach,"2341 Collins Avenue, Miami Beach, FL 33139",,https://www.sevenrooms.com/events/ahNzfnNldmVucm9vbXMtc2VjdXJlchwLEg9uaWdodGxvb3BfVmVudWUYgIDYwvK8igsM?event_id=ahNzfnNldmVucm9vbXMtc2VjdXJlcjkLEg9uaWdodGxvb3BfVmVudWUYgIDYwvK8igsMCxIQc3JfR2VuVmVudWVFdmVudBiAgM3H2dyaCgw,https://www.sevenrooms.com/events/ahNzfnNldmVucm9vbXMtc2VjdXJlchwLEg9uaWdodGxvb3BfVmVudWUYgIDYwvK8igsM?event_id=ahNzfnNldmVucm9vbXMtc2VjdXJlcjkLEg9uaWdodGxvb3BfVmVudWUYgIDYwvK8igsMCxIQc3JfR2VuVmVudWVFdmVudBiAgM3H2dyaCgw
85,Toe Jam Backlot Parties,Party,12/3/2025,12/6/2025,,Wynwood,"150 NW 21st St, Miami, FL 33127",,https://toejambacklot.com/,https://toejambacklot.com/
86,Green Velvet ,Party,12/3/2025,,8pm - 4am,Wynwood,"150 NW 21st St, Miami, FL 33127",,https://posh.vip/e/phase-3-presents-green-velvet-b2b-joseph-capriati-4-hour-set,https://posh.vip/e/phase-3-presents-green-velvet-b2b-joseph-capriati-4-hour-set
87,Gordo,Party,12/3/2025,,8pm - 4am,Wynwood,"150 NW 21st St, Miami, FL 33127",,https://posh.vip/e/long-feng-gordo-x-mahmut,https://posh.vip/e/long-feng-gordo-x-mahmut
88,Blondish,Party,12/4/2025,,8pm - 4am,Wynwood,"150 NW 21st St, Miami, FL 33127",,https://posh.vip/e/long-feng-blondish,https://posh.vip/e/long-feng-blondish
